,code,comments,detailId,inArea,location,name,nature,newNTC,outArea,reason,status,type,unavailabilityEnd,unavailabilityStart
0,10T-BE-FR-00007U,No comments,5bab8cd6623a7295d9775ace,BZN|FR,MONCEAU (B) - CHOOZ (FR) 220.48,CHOOZ220  48 MONCE,Planned,650 (VARY),BZN|BE,Foreseen Maintenance,Active,AC Link,28.06.2019 17:00,15.10.2018 07:00
1,10T-BE-FR-00007U,No comments,5bab8cb4623a7295d9775a58,BZN|BE,MONCEAU (B) - CHOOZ (FR) 220.48,CHOOZ220  48 MONCE,Planned,2000 (VARY),BZN|FR,Foreseen Maintenance,Active,AC Link,28.06.2019 17:00,15.10.2018 07:00
2,10T-BE-FR-00007U,No comments,5bab8c3ce32fa635b17c892e,BZN|FR,MONCEAU (B) - CHOOZ (FR) 220.48,CHOOZ220  48 MONCE,Planned,650 (VARY),BZN|BE,Foreseen Maintenance,Active,AC Link,18.01.2019 17:00,15.10.2018 07:00
3,10T-BE-FR-00007U,No comments,5bab8c3c66a5b702afdf2603,BZN|BE,MONCEAU (B) - CHOOZ (FR) 220.48,CHOOZ220  48 MONCE,Planned,2000 (VARY),BZN|FR,Foreseen Maintenance,Active,AC Link,18.01.2019 17:00,15.10.2018 07:00
4,10T-BE-FR-00007U,No comments,5bab8c7e66a5b702afdf26d2,BZN|DE-AT-LU,MONCEAU (B) - CHOOZ (FR) 220.48,CHOOZ220  48 MONCE,Planned,1500 (VARY),BZN|FR,Foreseen Maintenance,Active,AC Link,28.06.2019 17:00,15.10.2018 07:30
5,10T-BE-FR-00007U,No comments,5bab8c78623a7295d97759a8,BZN|FR,MONCEAU (B) - CHOOZ (FR) 220.48,CHOOZ220  48 MONCE,Planned,1200 (VARY),BZN|DE-AT-LU,Foreseen Maintenance,Active,AC Link,28.06.2019 17:00,15.10.2018 07:30
6,10T-BE-FR-00007U,No comments,5bab8c2066a5b702afdf258e,BZN|FR,MONCEAU (B) - CHOOZ (FR) 220.48,CHOOZ220  48 MONCE,Planned,1200 (VARY),BZN|DE-AT-LU,Foreseen Maintenance,Active,AC Link,18.01.2019 17:00,15.10.2018 07:30
7,10T-BE-FR-00007U,No comments,5bab8c0166a5b702afdf2549,BZN|DE-AT-LU,MONCEAU (B) - CHOOZ (FR) 220.48,CHOOZ220  48 MONCE,Planned,1500 (VARY),BZN|FR,Foreseen Maintenance,Active,AC Link,18.01.2019 17:00,15.10.2018 07:30
8,12T-0000000118-B,No comments,5c1737383991bd890ba642bd,BZN|FR,220 kV Foretaille-Verbois 2,2FRTL-VERB_2-IL,Planned,0,BZN|CH,Foreseen Maintenance,Active,AC Link,14.01.2019 17:00,14.01.2019 07:00
9,12T-0000000118-B,No comments,5c173764e32fa699b3ac476a,BZN|CH,220 kV Foretaille-Verbois 2,2FRTL-VERB_2-IL,Planned,-100,BZN|FR,Foreseen Maintenance,Active,AC Link,14.01.2019 17:00,14.01.2019 07:00
10,10T-ES-FR-00004V,No comments,5c373b64623a721814814f4b,BZN|ES,cross-zonal,Hernani-Argia,Planned,2600,BZN|FR,Foreseen Maintenance,Active,AC Link,14.01.2019 09:00,14.01.2019 08:00
11,10T-ES-FR-00004V,No comments,5c373baf623a721814814fcf,BZN|FR,cross-zonal,Hernani-Argia,Planned,2000,BZN|ES,Foreseen Maintenance,Active,AC Link,14.01.2019 09:00,14.01.2019 08:00
12,No Affected Assets,Outaged line due to maintenance work,5c3741a93991bdd23b3bb6e5,BZN|FR,No Affected Assets,No Affected Assets,Planned,2000,BZN|ES,No reasons,Active,No Affected Assets,14.01.2019 09:00,14.01.2019 08:00
13,No Affected Assets,Outaged line due to maintenance work,5c3741a93991bdd23b3bb6e6,BZN|ES,No Affected Assets,No Affected Assets,Planned,2600,BZN|FR,No reasons,Active,No Affected Assets,14.01.2019 09:00,14.01.2019 08:00
14,No Affected Assets,Outaged line due to maintenance work,5c37418de32fa63908a88f90,BZN|ES,No Affected Assets,No Affected Assets,Planned,2700 (VARY),BZN|FR,No reasons,Active,No Affected Assets,16.01.2019 18:00,14.01.2019 09:00
15,No Affected Assets,Outaged line due to maintenance work,5c37418d623a7218148158ba,BZN|FR,No Affected Assets,No Affected Assets,Planned,2100 (VARY),BZN|ES,No reasons,Active,No Affected Assets,16.01.2019 18:00,14.01.2019 09:00
16,No Affected Assets,Outaged line due to maintenance work,5c37419d66a5b765afdf4ea5,BZN|FR,No Affected Assets,No Affected Assets,Planned,2100 (VARY),BZN|ES,No reasons,Active,No Affected Assets,16.01.2019 18:00,14.01.2019 09:00
17,No Affected Assets,Outaged line due to maintenance work,5c37419d66a5b765afdf4ea8,BZN|ES,No Affected Assets,No Affected Assets,Planned,2700 (VARY),BZN|FR,No reasons,Active,No Affected Assets,16.01.2019 18:00,14.01.2019 09:00
