,interval start,interval end,newNTC
0,14.01.2019 00:00,14.01.2019 01:00,1150
1,14.01.2019 01:00,14.01.2019 02:00,1150
2,14.01.2019 02:00,14.01.2019 03:00,1150
3,14.01.2019 03:00,14.01.2019 04:00,1150
4,14.01.2019 04:00,14.01.2019 05:00,1150
5,14.01.2019 05:00,14.01.2019 06:00,1150
6,14.01.2019 06:00,14.01.2019 07:00,1150
7,14.01.2019 07:00,14.01.2019 08:00,1150
8,14.01.2019 08:00,14.01.2019 09:00,1150
9,14.01.2019 09:00,14.01.2019 10:00,1150
10,14.01.2019 10:00,14.01.2019 11:00,1150
11,14.01.2019 11:00,14.01.2019 12:00,1150
12,14.01.2019 12:00,14.01.2019 13:00,1150
13,14.01.2019 13:00,14.01.2019 14:00,1150
14,14.01.2019 14:00,14.01.2019 15:00,1150
15,14.01.2019 15:00,14.01.2019 16:00,1150
16,14.01.2019 16:00,14.01.2019 17:00,1150
17,14.01.2019 17:00,14.01.2019 18:00,1150
18,14.01.2019 18:00,14.01.2019 19:00,1150
19,14.01.2019 19:00,14.01.2019 20:00,1150
20,14.01.2019 20:00,14.01.2019 21:00,1150
21,14.01.2019 21:00,14.01.2019 22:00,1150
22,14.01.2019 22:00,14.01.2019 23:00,1150
23,14.01.2019 23:00,15.01.2019 00:00,1150
24,15.01.2019 00:00,15.01.2019 01:00,1150
25,15.01.2019 01:00,15.01.2019 02:00,1150
26,15.01.2019 02:00,15.01.2019 03:00,1150
27,15.01.2019 03:00,15.01.2019 04:00,1150
28,15.01.2019 04:00,15.01.2019 05:00,1150
29,15.01.2019 05:00,15.01.2019 06:00,1150
30,15.01.2019 06:00,15.01.2019 07:00,1150
31,15.01.2019 07:00,15.01.2019 08:00,1150
32,15.01.2019 08:00,15.01.2019 09:00,1150
33,15.01.2019 09:00,15.01.2019 10:00,1150
34,15.01.2019 10:00,15.01.2019 11:00,1150
35,15.01.2019 11:00,15.01.2019 12:00,1150
36,15.01.2019 12:00,15.01.2019 13:00,1150
37,15.01.2019 13:00,15.01.2019 14:00,1150
38,15.01.2019 14:00,15.01.2019 15:00,1150
39,15.01.2019 15:00,15.01.2019 16:00,1150
40,15.01.2019 16:00,15.01.2019 17:00,1150
41,15.01.2019 17:00,15.01.2019 18:00,1150
42,15.01.2019 18:00,15.01.2019 19:00,1150
43,15.01.2019 19:00,15.01.2019 20:00,1150
44,15.01.2019 20:00,15.01.2019 21:00,1150
45,15.01.2019 21:00,15.01.2019 22:00,1150
46,15.01.2019 22:00,15.01.2019 23:00,1150
47,15.01.2019 23:00,16.01.2019 00:00,1150
48,16.01.2019 00:00,16.01.2019 01:00,1150
49,16.01.2019 01:00,16.01.2019 02:00,1150
50,16.01.2019 02:00,16.01.2019 03:00,1150
51,16.01.2019 03:00,16.01.2019 04:00,1150
52,16.01.2019 04:00,16.01.2019 05:00,1150
53,16.01.2019 05:00,16.01.2019 06:00,1150
54,16.01.2019 06:00,16.01.2019 07:00,1150
55,16.01.2019 07:00,16.01.2019 08:00,1150
56,16.01.2019 08:00,16.01.2019 09:00,1150
57,16.01.2019 09:00,16.01.2019 10:00,1150
58,16.01.2019 10:00,16.01.2019 11:00,1150
59,16.01.2019 11:00,16.01.2019 12:00,1150
60,16.01.2019 12:00,16.01.2019 13:00,1150
61,16.01.2019 13:00,16.01.2019 14:00,1150
62,16.01.2019 14:00,16.01.2019 15:00,1150
63,16.01.2019 15:00,16.01.2019 16:00,1150
64,16.01.2019 16:00,16.01.2019 17:00,1150
65,16.01.2019 17:00,16.01.2019 18:00,1150
66,16.01.2019 18:00,16.01.2019 19:00,1150
67,16.01.2019 19:00,16.01.2019 20:00,1150
68,16.01.2019 20:00,16.01.2019 21:00,1150
69,16.01.2019 21:00,16.01.2019 22:00,1150
70,16.01.2019 22:00,16.01.2019 23:00,1150
71,16.01.2019 23:00,17.01.2019 00:00,1150
72,17.01.2019 00:00,17.01.2019 01:00,1150
73,17.01.2019 01:00,17.01.2019 02:00,1150
74,17.01.2019 02:00,17.01.2019 03:00,1150
75,17.01.2019 03:00,17.01.2019 04:00,1150
76,17.01.2019 04:00,17.01.2019 05:00,1150
77,17.01.2019 05:00,17.01.2019 06:00,1150
78,17.01.2019 06:00,17.01.2019 07:00,1150
79,17.01.2019 07:00,17.01.2019 08:00,1150
80,17.01.2019 08:00,17.01.2019 09:00,1150
81,17.01.2019 09:00,17.01.2019 10:00,1150
82,17.01.2019 10:00,17.01.2019 11:00,1150
83,17.01.2019 11:00,17.01.2019 12:00,1150
84,17.01.2019 12:00,17.01.2019 13:00,1150
85,17.01.2019 13:00,17.01.2019 14:00,1150
86,17.01.2019 14:00,17.01.2019 15:00,1150
87,17.01.2019 15:00,17.01.2019 16:00,1150
88,17.01.2019 16:00,17.01.2019 17:00,1150
89,17.01.2019 17:00,17.01.2019 18:00,1150
90,17.01.2019 18:00,17.01.2019 19:00,1150
91,17.01.2019 19:00,17.01.2019 20:00,1150
92,17.01.2019 20:00,17.01.2019 21:00,1150
93,17.01.2019 21:00,17.01.2019 22:00,1150
94,17.01.2019 22:00,17.01.2019 23:00,1150
95,17.01.2019 23:00,18.01.2019 00:00,1150
96,18.01.2019 00:00,18.01.2019 01:00,1150
97,18.01.2019 01:00,18.01.2019 02:00,1150
98,18.01.2019 02:00,18.01.2019 03:00,1150
99,18.01.2019 03:00,18.01.2019 04:00,1150
